0 1 0
0.5 1 -0.5
1 0.75 -1
1.5 0.25 -1.375
2 -0.4375 -1.5
2.5 -1.1875 -1.28125
3 -1.82812 -0.6875
3.5 -2.17188 0.226562
4 -2.05859 1.3125
4.5 -1.40234 2.3418
5 -0.231445 3.04297
5.5 1.29004 3.15869
6 2.86938 2.51367
6.5 4.12622 1.07898
7 4.66571 -0.984131
7.5 4.17365 -3.31699
8 2.51515 -5.40381
8.5 -0.186752 -6.66138
9 -3.51744 -6.56801
9.5 -6.80145 -4.80929
10 -9.20609 -1.40856
10.5 -9.91037 3.19448
11 -8.31313 8.14967
11.5 -4.2383 12.3062
12 1.91482 14.4254
12.5 9.12751 13.468
13 15.8615 8.90421
13.5 20.3136 0.973464
14 20.8003 -9.18334
14.5 16.2087 -19.5835
15 6.41692 -27.6878
15.5 -7.42701 -30.8963
16 -22.8752 -27.1828
16.5 -36.4666 -15.7452
17 -44.3392 2.48806
17.5 -43.0951 24.6576
18 -30.7663 46.2052
18.5 -7.66371 61.5884
19 23.1305 65.4202
19.5 55.8406 53.855
20 82.7681 25.9347
20.5 95.7354 -15.4493
21 88.0108 -63.3171
21.5 56.3522 -107.322
22 2.69101 -135.499
22.5 -65.0583 -136.844
23 -133.48 -104.315
23.5 -185.638 -37.5748
24 -204.425 55.2441
24.5 -176.803 157.457
25 -98.0747 245.858
25.5 24.8544 294.896
26 172.302 282.468
26.5 313.536 196.317
27 411.695 39.5491
27.5 431.47 -166.298
28 348.32 -382.033
28.5 157.304 -556.193
29 -120.793 -634.845
29.5 -438.215 -574.449
30 -725.44 -355.341
30.5 -903.11 7.37881
31 -899.421 458.934
31.5 -669.954 908.645
32 -215.632 1243.62
32.5 406.179 1351.44
33 1081.9 1148.35
33.5 1656.07 607.399
34 1959.77 -220.637
34.5 1849.45 -1200.52
35 1249.19 -2125.25
35.5 186.567 -2749.84
36 -1188.36 -2843.13
36.5 -2609.92 -2248.95
37 -3734.4 -943.991
37.5 -4206.39 923.206
38 -3744.79 3026.4
38.5 -2231.59 4898.79
39 217.811 6014.59
39.5 3225.1 5905.68
40 6177.95 4293.13
40.5 8324.51 1204.16
41 8926.59 -2958.1
41.5 7447.54 -7421.39
42 3736.85 -11145.2
42.5 -1835.74 -13013.6
43 -8342.53 -12095.7
43.5 -14390.4 -7924.45
44 -18352.6 -729.259
44.5 -18717.2 8447.05
45 -14493.7 17805.7
45.5 -5590.88 25052.5
46 6935.38 27848
46.5 20859.4 24380.3
47 33049.5 13950.6
47.5 40024.8 -2574.16
48 38737.7 -22586.6
48.5 27444.4 -41955.4
49 6466.74 -55677.6
49.5 -21372.1 -58911
50 -50827.6 -48225
50.5 -74940.1 -22811.2
51 -86345.7 14658.9
51.5 -79016.2 57831.7
52 -50100.4 97339.8
52.5 -1430.48 122390
53 59764.5 123105
53.5 121317 93223
54 167929 32564.4
54.5 184211 -51399.9
55 158511 -143505
55.5 86758.2 -222761
56 -24622.2 -266140
56.5 -157692 -253829
57 -284606 -174983
57.5 -372098 -32679.5
58 -388438 153369
58.5 -311753 347588
59 -137959 503465
59.5 113774 572444
60 399996 515557
60.5 657774 315559
61 815554 -13327.7
61.5 808890 -421105
62 598338 -825550
62.5 185563 -1.12472e+06
63 -376796 -1.2175e+06
63.5 -985546 -1.0291e+06
64 -1.5001e+06 -536328
64.5 -1.76826e+06 213720
65 -1.6614e+06 1.09785e+06
65.5 -1.11248e+06 1.92855e+06
66 -148200 2.48479e+06
66.5 1.09419e+06 2.55889e+06
67 2.37364e+06 2.01179e+06
67.5 3.37954e+06 824973
68 3.79202e+06 -864795
68.5 3.35962e+06 -2.76081e+06
69 1.97922e+06 -4.44062e+06
69.5 -241088 -5.43023e+06
70 -2.9562e+06 -5.30968e+06
70.5 -5.61104e+06 -3.83158e+06
71 -7.52684e+06 -1.02606e+06
71.5 -8.03987e+06 2.73736e+06
72 -6.67119e+06 6.75729e+06
72.5 -3.29254e+06 1.00929e+07
73 1.7539e+06 1.17392e+07
73.5 7.62348e+06 1.08622e+07
74 1.30546e+07 7.05047e+06
74.5 1.65798e+07 523179
75 1.68414e+07 -7.76673e+06
75.5 1.2958e+07 -1.61874e+07
76 4.86432e+06 -2.26664e+07
76.5 -6.4689e+06 -2.50986e+07
77 -1.90182e+07 -2.18642e+07
77.5 -2.99503e+07 -1.23551e+07
78 -3.61278e+07 2.62008e+06
78.5 -3.48178e+07 2.0684e+07
79 -2.44758e+07 3.80929e+07
79.5 -5.42934e+06 5.03308e+07
80 1.9736e+07 5.30454e+07
80.5 4.62588e+07 4.31774e+07
81 6.78475e+07 2.0048e+07
81.5 7.78715e+07 -1.38757e+07
82 7.09336e+07 -5.28115e+07
82.5 4.45279e+07 -8.82783e+07
83 388768 -1.10542e+08
83.5 -5.48823e+07 -1.10737e+08
84 -1.10251e+08 -8.32954e+07
84.5 -1.51898e+08 -2.81701e+07
85 -1.65983e+08 4.77791e+07
85.5 -1.42094e+08 1.30771e+08
86 -7.67085e+07 2.01818e+08
86.5 2.42004e+07 2.40172e+08
87 1.44286e+08 2.28072e+08
87.5 2.58322e+08 1.55929e+08
88 3.36287e+08 2.67675e+07
88.5 3.4967e+08 -1.41376e+08
89 2.78982e+08 -3.16211e+08
89.5 1.20877e+08 -4.55702e+08
90 -1.06974e+08 -5.16141e+08
90.5 -3.65044e+08 -4.62654e+08
91 -5.96371e+08 -2.80131e+08
91.5 -7.36437e+08 1.80543e+07
92 -7.2741e+08 3.86273e+08
92.5 -5.34273e+08 7.49978e+08
93 -1.59285e+08 1.01711e+09
93.5 3.49273e+08 1.09676e+09
94 8.97651e+08 9.2212e+08
94.5 1.35871e+09 4.73295e+08
95 1.59536e+09 -2.06061e+08
